College Code,College Name,Branch Name,OC Boys,OC Girls,EWS Boys,EWS Girls,SC Boys,SC Girls,ST Boys,ST Girls,BC-A Boys,BC-A Girls,BC-B Boys,BC-B Girls,BC-C Boys,BC-C Girls,BC-D Boys,BC-D Girls,BC-E Boys,BC-E Girls
"KCEA","KSHATRIYA COLLEGE OF ENGINEERING ARMOOR","ELECTRONICS AND COMMUNICATION ENGINEERING",139112,NA,NA,NA,158026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESUTSF","EARTH SCIENCES UNIV OF TELANGANA FORMERLY K U COLLEGE OF ENGG KOTHAGUDEM SELF FINANCE KOTHAGUDEM","INFORMATION TECHNOLOGY",141208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SVSE","SVS GRP OF INSTNS SVS INST OF TECH AUTONOMOUS HANAMKONDA","ELECTRICAL AND ELECTRONICS ENGINEERING",141293,116255,NA,NA,NA,NA,160914,NA,NA,NA,159357,NA,NA,NA,161032,NA,NA,NA
"VJYA","VIJAYA ENGINEERING COLLEGE KHAMMAM","COMPUTER SCIENCE AND ENGINEERING DATA SCIENCE",143395,NA,NA,NA,149382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171495,NA,NA
"VMRH","VMR PRADEEP KUMAR INST OF ENGG TECH HANUMAKONDA","ELECTRONICS AND COMMUNICATION ENGINEERING",144280,NA,NA,NA,149897,NA,NA,NA,NA,161550,NA,NA,NA,NA,NA,165391,NA,NA
"SVES","SRI VENKATESWARA ENGINEERING COLLEGE SURYAPETA","MECHANICAL ENGINEERING",144337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KTKM","KAMALA INSTITUTE OF TECHNOLOGY AND SCIENCE AUTONOMOUS HUZURABAD","ELECTRICAL AND ELECTRONICS ENGINEERING",145094,117106,NA,NA,153097,NA,158083,159050,163354,NA,147884,164823,NA,NA,NA,NA,NA,NA
"VREC","VIJAYA RURAL ENGINEERING COLLEGE NIZAMABAD","ELECTRICAL AND ELECTRONICS ENGINEERING",145466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KTKM","KAMALA INSTITUTE OF TECHNOLOGY AND SCIENCE AUTONOMOUS HUZURABAD","CIVIL ENGINEERING",145735,68781,NA,NA,NA,NA,156928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VITS","SRI VISHWESWARAYA INST OF TECHNOLOGY AND SCI MAHABUBNAGAR","CIVIL ENGINEERING",146388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOMA","BOMMA INST OF TECHNOLOGY AND SCI KHAMMAM","ELECTRICAL AND ELECTRONICS ENGINEERING",147744,NA,NA,NA,NA,154894,163887,167341,NA,161302,NA,170474,NA,NA,NA,NA,NA,NA
"IITT","INDUR INSTITUTE OF ENGINEERING AND TECHNOLOGY SIDDIPET","ELECTRICAL AND ELECTRONICS ENGINEERING",148702,136933,NA,NA,147314,155349,NA,NA,NA,NA,NA,NA,154890,NA,NA,NA,NA,NA
"GATE","GATE INSTITUTE OF TECHNOLOGYAND SCIENCES KODAD","MINING ENGINEERING",152647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JNPL","JNTUH UNIVERSITY COLLEGE OF ENGINEERING PALAIR PALAIR","ELECTRICAL AND ELECTRONICS ENGINEERING",152674,117543,NA,NA,NA,NA,155461,NA,163142,NA,165449,NA,NA,NA,163533,NA,NA,168741
"JNPL","JNTUH UNIVERSITY COLLEGE OF ENGINEERING PALAIR PALAIR","MECHANICAL ENGINEERING",154231,NA,NA,NA,155889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IITT","INDUR INSTITUTE OF ENGINEERING AND TECHNOLOGY SIDDIPET","CIVIL ENGINEERING",156117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GATE","GATE INSTITUTE OF TECHNOLOGYAND SCIENCES KODAD","BIOTECHNOLOGY",156393,138266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SVES","SRI VENKATESWARA ENGINEERING COLLEGE SURYAPETA","ELECTRICAL AND ELECTRONICS ENGINEERING",156613,127704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NIET","NETAJI INSTITUTE OF ENGINEERING AND TECHNOLOGY CHOUTUPPAL","ELECTRICAL AND ELECTRONICS ENGINEERING",157571,NA,NA,NA,NA,NA,160595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IITT","INDUR INSTITUTE OF ENGINEERING AND TECHNOLOGY SIDDIPET","MECHANICAL ENGINEERING",158713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VISA","VATHSALYA INSTITUTE OF SCI AND TECHNOLOGY BHONGIR","MECHANICAL ENGINEERING",159109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JNMB","JNTUH UNIVERSITY COLLEGE OF ENGINEERING MAHABUBABAD MAHABUBABAD","MECHANICAL ENGINEERING",160037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VREC","VIJAYA RURAL ENGINEERING COLLEGE NIZAMABAD","MECHANICAL ENGINEERING",160527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KCEA","KSHATRIYA COLLEGE OF ENGINEERING ARMOOR","CIVIL ENGINEERING",161007,88617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MOTK","MOTHER TERESA INSTITUTE OF SCI AND TECHNOLOGY AUTONOMOUS SATHUPALLY","CIVIL ENGINEERING",161560,128236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JNWN","JNTUH UNIVERSITY COLLEGE OF ENGINEERING WANAPARTHY NARSINGAYAPALLY VILLAGE","MECHANICAL ENGINEERING",163423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MOTK","MOTHER TERESA INSTITUTE OF SCI AND TECHNOLOGY AUTONOMOUS SATHUPALLY","MECHANICAL ENGINEERING",163609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESUTSF","EARTH SCIENCES UNIV OF TELANGANA FORMERLY K U COLLEGE OF ENGG KOTHAGUDEM SELF FINANCE KOTHAGUDEM","ELECTRONICS AND COMMUNICATION ENGINEERING",165834,146199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIZA","AIZZA COLLEGE OF ENGG AND TECHNOLOGY MANCHERIAL","COMPUTER SCIENCE AND ENGINEERING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIZA","AIZZA COLLEGE OF ENGG AND TECHNOLOGY MANCHERIAL","ELECTRICAL AND ELECTRONICS ENGINEERING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIZA","AIZZA COLLEGE OF ENGG AND TECHNOLOGY MANCHERIAL","MINING ENGINEERING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASRA","AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY HAYATHNAGAR","CIVIL ENGINEERING",NA,99440,NA,NA,157474,160108,163839,161072,165676,158339,168957,167815,NA,NA,167531,NA,NA,NA
"ASRA","AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY HAYATHNAGAR","ELECTRICAL AND ELECTRONICS ENGINEERING",NA,124758,124525,132622,158205,159330,161819,NA,124882,135267,138508,142823,NA,NA,130184,129169,146035,NA
"AVIH","AVANTHI INST OF ENGG AND TECHNOLOGY AUTONOMOUS HAYATHNAGAR","ELECTRICAL AND ELECTRONICS ENGINEERING",NA,104054,131456,NA,148807,162352,154485,NA,126708,NA,135750,134548,115858,NA,103375,121333,NA,NA
"AZAD","AZAD COLLEGE OF ENGINEERING AND TECHNOLOGY MOINABAD","ARTIFICIAL INTELLIGENCE AND DATA SCIENCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AZAD","AZAD COLLEGE OF ENGINEERING AND TECHNOLOGY MOINABAD","COMPUTER SCIENCE AND ENGINEERING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BITN","BALAJI INSTITUTE OF TECHNOLOGY AND SCI AUTONOMOUS NARSAMPET","MECHANICAL ENGINEERING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165309,NA
"BOSE","ANU BOSE INSTT OF TECHNOLOGY FOR WOMENS AUTONOMOUS PALONCHA","CIVIL ENGINEERING",NA,123865,NA,NA,NA,151374,NA,153360,NA,159423,NA,160783,NA,145116,NA,159349,NA,160137
"BOSE","ANU BOSE INSTT OF TECHNOLOGY FOR WOMENS AUTONOMOUS PALONCHA","COMPUTER SCIENCE AND ENGINEERING",NA,105802,NA,NA,NA,155920,NA,133813,NA,147052,NA,155535,NA,158342,NA,166611,NA,156008
"BOSE","ANU BOSE INSTT OF TECHNOLOGY FOR WOMENS AUTONOMOUS PALONCHA","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",NA,126499,NA,135579,NA,162521,NA,156861,NA,163954,NA,166322,NA,171150,NA,171152,NA,164799
"BOSE","ANU BOSE INSTT OF TECHNOLOGY FOR WOMENS AUTONOMOUS PALONCHA","COMPUTER SCIENCE AND ENGINEERING DATA SCIENCE",NA,140513,NA,NA,NA,167098,NA,154340,NA,160540,NA,162753,NA,NA,NA,163990,NA,164204
"BOSE","ANU BOSE INSTT OF TECHNOLOGY FOR WOMENS AUTONOMOUS PALONCHA","ELECTRICAL AND ELECTRONICS ENGINEERING",NA,103814,NA,NA,NA,146682,NA,118606,NA,140990,NA,141049,NA,139582,NA,141211,NA,139895
"BOSE","ANU BOSE INSTT OF TECHNOLOGY FOR WOMENS AUTONOMOUS PALONCHA","ELECTRONICS AND COMMUNICATION ENGINEERING",NA,116027,NA,NA,NA,159072,NA,143304,NA,147769,NA,151448,NA,NA,NA,145425,NA,155716
"BREW","BHOJREDDY ENGINEERING COLLEGE FOR WOMEN SAIDABAD","COMPUTER SCIENCE AND ENGINEERING",NA,14603,NA,20103,NA,54508,NA,67013,NA,41328,NA,24567,NA,NA,NA,25278,NA,32386
"BREW","BHOJREDDY ENGINEERING COLLEGE FOR WOMEN SAIDABAD","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",NA,18588,NA,17362,NA,57308,NA,70863,NA,36316,NA,26675,NA,51634,NA,26253,NA,NA
"BREW","BHOJREDDY ENGINEERING COLLEGE FOR WOMEN SAIDABAD","ELECTRICAL AND ELECTRONICS ENGINEERING",NA,49228,NA,75816,NA,150034,NA,148442,NA,109604,NA,73858,NA,NA,NA,61262,NA,115111
"BREW","BHOJREDDY ENGINEERING COLLEGE FOR WOMEN SAIDABAD","ELECTRONICS AND COMMUNICATION ENGINEERING",NA,29126,NA,33151,NA,118991,NA,103811,NA,52783,NA,37336,NA,34877,NA,36722,NA,75229
"BREW","BHOJREDDY ENGINEERING COLLEGE FOR WOMEN SAIDABAD","INFORMATION TECHNOLOGY",NA,22413,NA,24275,NA,109286,NA,119931,NA,43785,NA,34570,NA,29116,NA,30699,NA,48153
"BRIG","BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS AUTONOMOUS HAYATHNAGAR","CIVIL ENGINEERING",NA,83156,128928,NA,152553,165960,160891,161749,147970,129204,152077,146050,NA,NA,120291,121470,NA,NA
"BRIG","BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS AUTONOMOUS HAYATHNAGAR","ELECTRICAL AND ELECTRONICS ENGINEERING",NA,NA,126202,NA,147920,155366,155384,NA,142669,NA,126593,129509,NA,NA,123962,123806,137501,NA
"BVRW","BVRIT COLLEGE OF ENGINEERING FOR WOMEN AUTONOMOUS BACHUPALLY","COMPUTER SCIENCE AND ENGINEERING",NA,11224,NA,10851,NA,101573,NA,51732,NA,25274,NA,16762,NA,60368,NA,16702,NA,29164
"BVRW","BVRIT COLLEGE OF ENGINEERING FOR WOMEN AUTONOMOUS BACHUPALLY","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",NA,10279,NA,12331,NA,98762,NA,51523,NA,26441,NA,12781,NA,42856,NA,14236,NA,20783
"BVRW","BVRIT COLLEGE OF ENGINEERING FOR WOMEN AUTONOMOUS BACHUPALLY","ELECTRICAL AND ELECTRONICS ENGINEERING",NA,27718,NA,37237,NA,97145,NA,101830,NA,57006,NA,45610,NA,NA,NA,47596,NA,134014
"BVRW","BVRIT COLLEGE OF ENGINEERING FOR WOMEN AUTONOMOUS BACHUPALLY","ELECTRONICS AND COMMUNICATION ENGINEERING",NA,15099,NA,15944,NA,68284,NA,65393,NA,43686,NA,21445,NA,45313,NA,19342,NA,43312
"CJIT","CHRISTU JYOTHI INSTITUTE OF TECHNOLOGY AND SCI JANGAON","COMPUTER SCIENCE AND ENGINEERING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CJIT","CHRISTU JYOTHI INSTITUTE OF TECHNOLOGY AND SCI JANGAON","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
